id,assigned_work_id,date,work_hours,start_time,end_time,project_activity,assigned_work,status,remarks,is_deleted
1,1,2026-01-30,7.0,09:00:00,18:00:00,Shop Drawing Editing Task,Shop Drawing Editing Task,COMPLETED,,0
2,1,2026-02-03,7.0,09:00:00,18:00:00,Shop Drawing Editing Task,Shop Drawing Editing Task,COMPLETED,,0
3,1,2026-02-06,9.0,09:00:00,18:00:00,Shop Drawing Editing Task,Shop Drawing Editing Task,COMPLETED,,0
4,1,2026-02-11,8.0,09:00:00,18:00:00,,Shop Drawing Editing Task,COMPLETED,,0
5,1,2026-02-13,7.0,09:00:00,18:00:00,,Shop Drawing Editing Task,COMPLETED,,0
6,1,2026-02-14,7.0,09:00:00,18:00:00,Shop Drawing Editing Task,Shop Drawing Editing Task,COMPLETED,,0
7,1,2026-02-16,9.0,09:00:00,18:00:00,Shop Drawing Editing Task,Shop Drawing Editing Task,COMPLETED,,0
8,1,2026-02-17,7.0,09:00:00,18:00:00,Shop Drawing Editing Task,Shop Drawing Editing Task,COMPLETED,,0
9,1,2026-02-17,7.0,09:00:00,18:00:00,,Shop Drawing Editing Task,COMPLETED,,0
10,1,2026-02-17,8.0,09:00:00,18:00:00,Shop Drawing Editing Task,Shop Drawing Editing Task,COMPLETED,,0
11,1,2026-02-17,8.0,09:00:00,18:00:00,Shop Drawing Editing Task,Shop Drawing Editing Task,COMPLETED,,0
12,1,2026-02-17,7.0,09:00:00,18:00:00,,Shop Drawing Editing Task,COMPLETED,,0
13,1,2026-02-17,8.0,09:00:00,18:00:00,,Shop Drawing Editing Task,COMPLETED,,0
14,1,2026-02-17,8.0,09:00:00,18:00:00,Shop Drawing Editing Task,Shop Drawing Editing Task,COMPLETED,,0
15,1,2026-02-17,8.0,09:00:00,18:00:00,Shop Drawing Editing Task,Shop Drawing Editing Task,COMPLETED,,0
16,1,2026-02-17,8.0,09:00:00,18:00:00,,Shop Drawing Editing Task,COMPLETED,,0
17,1,2026-02-17,8.0,09:00:00,18:00:00,Shop Drawing Editing Task,Shop Drawing Editing Task,COMPLETED,,0
18,1,2026-02-17,7.04,09:00:00,18:00:00,,Shop Drawing Editing Task,COMPLETED,,0
19,2,2026-01-31,8.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
20,2,2026-02-01,8.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
21,2,2026-02-02,9.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
22,2,2026-02-07,9.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
23,2,2026-02-12,9.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
24,2,2026-02-17,7.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
25,2,2026-02-17,8.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
26,2,2026-02-17,7.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
27,2,2026-02-17,7.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
28,2,2026-02-17,7.0,09:00:00,18:00:00,Main Steel Modelling Task,Main Steel Modelling Task,COMPLETED,,0
29,2,2026-02-17,7.0,09:00:00,18:00:00,Main Steel Modelling Task,Main Steel Modelling Task,COMPLETED,,0
30,2,2026-02-17,7.0,09:00:00,18:00:00,Main Steel Modelling Task,Main Steel Modelling Task,COMPLETED,,0
31,2,2026-02-17,9.0,09:00:00,18:00:00,Main Steel Modelling Task,Main Steel Modelling Task,COMPLETED,,0
32,2,2026-02-17,8.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
33,2,2026-02-17,7.0,09:00:00,18:00:00,Main Steel Modelling Task,Main Steel Modelling Task,COMPLETED,,0
34,2,2026-02-17,9.0,09:00:00,18:00:00,Main Steel Modelling Task,Main Steel Modelling Task,COMPLETED,,0
35,2,2026-02-17,9.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
36,2,2026-02-17,8.0,09:00:00,18:00:00,Main Steel Modelling Task,Main Steel Modelling Task,COMPLETED,,0
37,2,2026-02-17,8.0,09:00:00,18:00:00,Main Steel Modelling Task,Main Steel Modelling Task,COMPLETED,,0
38,2,2026-02-17,9.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
39,2,2026-02-17,9.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
40,2,2026-02-17,8.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
41,2,2026-02-17,8.0,09:00:00,18:00:00,Main Steel Modelling Task,Main Steel Modelling Task,COMPLETED,,0
42,2,2026-02-17,7.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
43,2,2026-02-17,9.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
44,2,2026-02-17,7.0,09:00:00,18:00:00,,Main Steel Modelling Task,COMPLETED,,0
